time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-06T07:11:16.480Z,19.1938,-64.6816,31,3.89,md,18,324,1.4003,0.39,pr,pr2021037005,2021-02-06T11:48:09.026Z,"96 km N of Cruz Bay, U.S. Virgin Islands",earthquake,2.64,27.44,0.07,14,reviewed,pr,pr
2021-02-06T07:05:02.490Z,19.156,-64.8158,78,4.99,md,29,209,1.2898,0.41,pr,pr2021037002,2021-02-07T02:41:08.607Z,"90 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.67,7.52,0.08,17,reviewed,pr,pr
2021-02-06T06:56:12.390Z,19.2243,-64.8868,24,4.38,md,31,211,1.309,0.42,pr,pr2021037003,2021-02-06T08:48:35.045Z,"97 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.38,31.45,0.09,20,reviewed,pr,pr
2021-02-06T05:22:59.054Z,31.6263,-104.5461,5,2.7,ml,,71,0.057,0.48,us,us6000df19,2021-02-06T05:58:55.040Z,"62 km SSW of Whites City, New Mexico",earthquake,1.3,2,0.05,52,reviewed,us,us
2021-02-06T05:10:28.396Z,35.7373,140.1127,63.88,4.3,mwr,,123,1.742,0.72,us,us6000df14,2021-02-06T22:46:21.065Z,"8 km SSE of Shiroi, Japan",earthquake,7.4,7.3,0.083,14,reviewed,us,us
2021-02-06T02:50:22.546Z,65.2847,-163.0094,0,3.1,ml,,,,1.03,ak,ak0211p8dh1k,2021-02-06T03:04:15.040Z,"69 km NNE of White Mountain, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-02-06T01:23:05.506Z,-6.0231,-75.108,50.18,4.4,mb,,114,2.927,1.24,us,us6000df0e,2021-02-06T02:04:29.040Z,"78 km ENE of Navarro, Peru",earthquake,7.3,12.7,0.1,31,reviewed,us,us
2021-02-06T01:10:02.549Z,16.0789,-97.4995,35,4.2,mb,,252,1.794,1.26,us,us6000df07,2021-02-06T02:15:09.720Z,"7 km S of Santa María Acatepec, Mexico",earthquake,10.8,2,0.07,57,reviewed,us,us
2021-02-05T23:55:21.059Z,-10.9786,-77.8094,68.15,4.7,mb,,141,1.379,0.66,us,us6000dez0,2021-02-06T16:02:14.556Z,"18 km WNW of Végueta, Peru",earthquake,8.6,7.7,0.045,151,reviewed,us,us
2021-02-05T23:10:24.500Z,19.0213,-64.8528,38,3.48,md,12,326,1.1591,0.28,pr,pr2021036007,2021-02-06T03:04:18.040Z,"75 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.84,17.3,0.08,8,reviewed,pr,pr
2021-02-05T22:46:27.775Z,31.5129,56.7316,10,4.2,mb,,78,5.447,0.76,us,us6000deym,2021-02-05T23:04:37.040Z,"28 km NNW of Rāvar, Iran",earthquake,4.8,1.9,0.084,40,reviewed,us,us
2021-02-05T22:32:30.177Z,-21.3543,-177.9025,337.04,4.5,mb,,103,7.824,0.93,us,us6000deyl,2021-02-05T23:38:37.040Z,"280 km W of Haveluloto, Tonga",earthquake,12.9,6.1,0.062,76,reviewed,us,us
2021-02-05T21:24:07.625Z,-42.7764,-82.4905,10,4.7,mb,,216,7.987,0.97,us,us6000dey3,2021-02-06T03:09:06.040Z,"West Chile Rise",earthquake,11.6,1.8,0.108,26,reviewed,us,us
2021-02-05T21:16:01.770Z,17.9276,-66.8873,13,2.51,md,15,210,0.0482,0.1,pr,pr2021036006,2021-02-05T21:55:32.654Z,"5 km SSE of Guánica, Puerto Rico",earthquake,0.72,0.33,0.26,6,reviewed,pr,pr
2021-02-05T21:06:24.280Z,36.8984985,-121.6363297,3.49,2.61,md,12,119,0.07146,0.31,nc,nc73518991,2021-02-06T15:32:25.755Z,"1km NNE of Aromas, CA",earthquake,0.84,3.25,0.23,8,automatic,nc,nc
2021-02-05T20:34:45.998Z,-0.2165,124.4574,54.3,5.2,mb,,38,1.874,1,us,us6000dex7,2021-02-06T19:09:36.040Z,"173 km SSW of Tomohon, Indonesia",earthquake,6.4,5.3,0.042,197,reviewed,us,us
2021-02-05T19:51:13.404Z,53.9524,-166.4319,17.38,3.1,ml,,136,0.115,0.33,us,us6000dey5,2021-02-05T22:51:35.040Z,"10 km NE of Dutch Harbor, Alaska",earthquake,3.5,5.2,0.105,12,reviewed,us,us
